id,season,team1,team2,winner
1426295,2024,Lucknow Super Giants,Sunrisers Hyderabad,Sunrisers Hyderabad
1426296,2024,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru
1426297,2024,Gujarat Titans,Chennai Super Kings,Gujarat Titans
1426298,2024,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders
1426299,2024,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings
1426300,2024,Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru
1426302,2024,Delhi Capitals,Lucknow Super Giants,Delhi Capitals
1426303,2024,Rajasthan Royals,Punjab Kings,Punjab Kings
1426305,2024,Lucknow Super Giants,Mumbai Indians,Lucknow Super Giants
1426306,2024,Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru
1426307,2024,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad
1426309,2024,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders
1426310,2024,Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals
1426311,2024,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad
1426312,2024,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders
